batterID,pitcherID,outcome
82,124,-5.571357025
76,132,-10.77031602
65,101,1.617366676
1,105,-44.7381765
5,129,-82.4151077
2,143,7.627469539
1,152,32.23206613
41,125,94.92936134
62,186,91.97622692
42,166,-36.14363648
99,115,-49.80992121
85,162,63.91393703
68,123,28.61639028
89,130,36.39213795
95,172,-31.59780231
47,169,52.24025356
17,159,-32.1474886
27,151,-45.82541737
68,102,-83.40336783
93,113,-11.93183088
9,182,-75.35762423
70,192,-66.94810776
36,137,3.52561935
36,145,13.05692465
66,182,-115.0916285
99,123,-11.48080706
6,168,82.15780065
4,149,157.7257201
81,173,-3.602609678
14,139,-43.96567349
31,195,55.40537063
98,140,-48.28081039
87,119,-41.14558476
42,132,-51.59997014
47,161,36.03061438
11,185,16.46441194
48,192,47.89992158
24,126,-61.651494
58,200,21.15652869
24,110,1.453090375
85,121,51.58203245
93,151,-74.08772352
62,128,-14.0872506
31,103,78.87104624
59,103,81.69922691
29,149,132.0412545
52,150,36.97212737
39,166,-115.2422751
96,140,44.88783936
92,180,39.02581431
46,186,-64.67199257
83,176,-48.01484645
91,112,-15.83233569
44,156,-52.04302089
70,177,58.18487494
43,128,17.54770108
43,122,-7.24314418
30,106,-3.401632192
53,115,-18.91246024
71,161,-42.46088752
67,103,-32.26189321
74,196,-57.82236376
43,111,-33.00428974
88,194,3.245860552
22,126,-72.81907522
73,118,-90.88094816
14,174,-1.671000272
60,161,-0.273845644
83,116,80.20476228
87,198,-42.38498933
74,165,-58.66249536
15,157,8.596181263
6,118,-153.92019
2,190,1.564351428
67,110,63.47649524
35,131,-90.47271188
72,195,114.2795698
80,134,15.11446586
2,144,-95.06993891
48,198,7.706944798
100,167,-118.4785907
80,151,9.227130782
12,189,35.85494141
27,127,-69.20636627
59,166,14.05776059
93,109,13.95983132
13,168,123.007008
54,139,-40.14523463
63,147,-24.84217545
53,175,19.12292555
11,174,78.72583071
55,132,-37.5334446
20,105,-73.82812965
89,185,-58.64722524
43,116,-32.77912149
42,198,100.0539096
54,120,19.08940955
84,178,-18.60788495
43,155,-19.30147831
85,111,-4.957844877
43,188,25.03025921
77,113,82.88345201
57,153,-79.98323006
25,169,-26.8067376
9,195,9.969227802
62,103,-31.76595139
69,146,-120.0399741
23,144,-114.9198213
49,194,65.00314606
93,106,29.20868379
70,175,26.76497943
56,199,-33.10994082
65,127,56.4435645
84,116,-8.614858984
18,115,-65.27583949
9,182,-26.62976273
42,140,-23.72088964
34,120,58.70559099
7,183,35.57079683
50,133,87.0753571
51,161,51.22013653
74,176,6.96777231
40,163,-101.3432667
2,128,90.60669056
33,116,-12.36467925
34,113,105.3743598
52,196,-10.41813833
63,158,19.69726719
97,150,-20.9010773
